Project Name,Status,Project Type,Purpose,Platform,File,Project Path,Tech Stack,Worksheet,Google Doc,n8n Workflow,AI / Models,Trigger / Actions,Inputs,Main Processing,APIs / Integrations,WordPress / TEC,Output,Dependencies,Related Projects,Chat / Session,Live App / URL,Article / URL,Project Notes,Known Limitations
CCC Dashboard — Publisher Dashboard,Active,Application / Operations Dashboard,"CCC operations dashboard for reviewing event data, triggering publishing actions, adding/deleting events, refreshing Google Sheets data, and running auction discovery.",VS Code,src/App.tsx,C:\Developer\dashboard-car-shows,React 19; TypeScript; Vite; Tailwind CSS; Lucide React; Node.js; Express 5; tsx; Google Sheets API; googleapis; n8n; webhooks; Vitest; ESLint,Concours_and_Car_Shows_2026 / all_car_shows,,Dashboard All Workflows-5,,Discover Dates; Update Content & Publish; Validate Venue & Organization; WP Sync Event; Post Social; DAP auction discovery; Refresh Data,Selected event record; dashboard action; Google Sheets event data,React sends requests to Express; Express reads Google Sheets and calls n8n webhooks or the local DAP runner; results return to the dashboard and data refreshes.,Google Sheets API; n8n webhooks; local Node runner,Downstream WordPress / The Events Calendar operations are performed through n8n.,Dashboard status/results; refreshed event data; downstream WordPress/TEC updates,Google Sheets credentials; Express backend; n8n webhooks; ccc-event-pipeline for DAP,CCC Event Pipeline — Auction Scrapers,,http://localhost:5173/,,Five main publishing actions plus separate DAP and Refresh Data actions. Add/Delete Event use a separate webhook.,"Previously recorded test status: 141 passing, 6 failing; one ESLint issue."
CCC Event Pipeline — Auction Scrapers,Active,Data Pipeline / Web Scraping,"Runs organizer-specific Playwright auction scrapers, normalizes and deduplicates event data, resolves organizer IDs, and appends new auction rows to Google Sheets.",VS Code,content-streams\1-auctions\run-all-auctions.js,C:\Developer\ccc-event-pipeline,Node.js; CommonJS JavaScript; Playwright; Chromium; Google Sheets API; googleapis; JSON organizer registry,CCC_VS_Code_Sheet / sheet1,,Auction Articles Creator - 3 (archived export),,Master runner sequentially launches ten organizer-specific scrapers,Auction organizer websites; existing Google Sheet keys; organizer registry,Scrapes auction sites; extracts event records; normalizes fields; checks existing keys; appends only new rows.,Google Sheets API; Playwright / Chromium,,New normalized auction rows in Google Sheets,Node.js; Playwright; Google credentials; organizer registry,CCC Dashboard — Publisher Dashboard,ccc-event-pipeline Build,,,"Master runner covers Broad Arrow, Barrett-Jackson, Bonhams, GAA, Gooding & Company, Iconic Auctioneers, Motorsport Auction Group, Mecum, Premier Auction Group, and RM Sotheby's.",No dry-run mode or automated test suite documented; downstream publishing orchestration occurs outside the active scraper path.
CARPICS APP,Active,AI Application,AI-powered collector-car imagery application used as a CCC product and AI portfolio project.,Google AI Studio / Vercel,Carcollectorsclub.com,,React 19; TypeScript; Tailwind CSS; Lucide React; Vite; Node.js; Express 5; Google Gen AI SDK; Dexie.js; IndexedDB; n8n; Vercel; GitHub,CarPics_Demo_Logs / demo_log,,,Gemini 2.5 Flash; Google Search Grounding,,Collector-car image/user input,AI-assisted collector-car image workflow with browser media/canvas features and local IndexedDB storage.,Google Gen AI SDK; Google Search Grounding; n8n; Vercel Analytics,,AI-assisted collector-car image results; usage logs,Google AI services; Vercel; browser media APIs,AI Career Portfolio,Gemini: AI Studio Code - (CarPics),https://app.carcollectorsclub.com/,https://carcollectorsclub.com/car-pic-ai-for-concours-delegance/,Published through GitHub/Vercel. Usage logging associated with CarPics_Demo_Logs.,
AI Career Portfolio,Active,Portfolio Website,"Static portfolio and CCC case-study website showcasing implemented AI systems, automation workflows, screenshots, architecture diagrams, and technical project work.",VS Code,index.html,C:\Developer\ai-career-portfolio,HTML5; CSS; Vanilla JavaScript; native dialog; responsive UI; local screenshots and diagrams,,,,,,Project descriptions; screenshots; architecture diagrams,"Static single-page presentation site using local HTML, CSS, JavaScript, screenshots, and diagrams.",,,Professional AI/project portfolio website,,CCC Dashboard — Publisher Dashboard; CARPICS APP; CCC Event Pipeline — Auction Scrapers,,,,"Presents the CCC Dashboard, n8n workflows, auction scraper architecture, Google Sheets-centered flows, and CarPics case study.","No backend, database, external APIs, build system, automated tests, or deployment configuration in the repository."
CKC — CCC AI Agents & Knowledge Center,Active,Multi-Agent AI / Knowledge System,"Organizes reusable CCC AI agents, Agent Skills, research tools, structured data, schemas, and future orchestration across collector-car domains.",VS Code / Codex,AGENTS.md,C:\Developer\ccc-ai-knowledge-center,Node.js; JavaScript; Playwright; Codex agents; Agent Skills; CSV; JSON; schemas; HTTP scraping,,,,,Codex delegation to specialized agents and reusable skills,CCC datasets; research requests; domain-specific instructions,"Separates domain data, reusable skills, specialized agents, tools, outputs, and future orchestration.",HTTP/web research tooling,Planned/future integration,Research results; structured knowledge; domain content,Codex; local project data; reusable skills/tools,CCC Event Pipeline — Auction Scrapers; CCC Auction Test Scraper — Sandbox,ccc-ai-knowledge-center Build,,,"Five standard domains: Car Clubs, Collector Car Auctions, Car Shows/Concours, Car Collections, and Car Museums.","No live Google Sheets, WordPress, or executable n8n integration currently documented."
CCC Auction Test Scraper — Sandbox,Experimental,Scraper Sandbox / R&D,Sandbox for experimenting with reusable collector-car auction and event scraping rules and extraction logic.,VS Code,scraper.js,C:\Developer\sandbox-ccc-scraper,Node.js 20+; CommonJS JavaScript; Playwright; Chromium; built-in fetch; DOM parsing; regex/date parsing; target-specific scraping rules,,,,,CLI flags: --rendered; --auto-render; --json; --debug-links,Collector-car auction/show URLs,Fetches raw or rendered pages; discovers/classifies event links; extracts structured event records; traverses supported event-series pages.,HTTP; Playwright / Chromium,,Readable diagnostics or JSON event records,Node.js; Playwright,CCC Event Pipeline — Auction Scrapers; CKC — CCC AI Agents & Knowledge Center,,,,"Specialized logic exists for Mecum, RM Sotheby's, Motorsport Auction Group, FuelFest, Festivals of Speed, Canossa Cavallino Classic, plus generic car-show/concours extraction.","No persistence, Google Sheets, n8n, WordPress/TEC, server, UI, database, scheduler, or automated test suite."
Project Command Center,Active,Project Management Dashboard,"Personal project dashboard for tracking priority projects, status, progress, next actions, and important technical asset references.",VS Code,app/page.tsx,C:\Developer\project-command-center,React 19; TypeScript; Tailwind CSS; vinext; Vite; Cloudflare Workers; OpenAI Sites; localStorage; optional Drizzle ORM / D1 / R2 scaffolding,,,,,Search; status filtering; status cycling; clipboard copy actions,Hardcoded project records and user status changes,Renders project records in a browser dashboard; status changes persist in localStorage.,OpenAI Sites / Cloudflare Worker hosting,,Project tracking dashboard,Browser localStorage; vinext/Vite/Cloudflare runtime,,,,,Five populated project cards and five open planning slots; asset references currently copy to clipboard rather than opening integrations.,One ESLint error previously recorded; stale starter tests; placeholder slots/assets; some nonfunctional UI controls.
Car Club Article Writer,Active,n8n AI Content Workflow,n8n workflow for researching and generating CCC car-club article content from structured source data.,n8n,Car Club Pipelines,,n8n; Google Sheets; AI-assisted research/content generation; structured field mapping,CCC Article n8n / carClubsAll,CCC Car Club Pipline,Car Club Pipelines,,,Car-club records from Google Sheets,"Reads structured car-club data, performs AI-assisted research/writing, and prepares article content for CCC publishing.",Google Sheets; downstream CCC publishing systems,,Car-club article content,Google Sheets source data; n8n credentials and workflow configuration,CKC — CCC AI Agents & Knowledge Center,,,,,
Master Database Sync,Active,n8n Data Synchronization Workflow,Synchronizes WordPress/The Events Calendar records into the centralized Google Sheets source of truth.,n8n,Dashboard All Workflows-5,,n8n; JavaScript Code nodes; HTTP Request; Google Sheets; WordPress REST API; The Events Calendar API,Concours_and_Car_Shows_2026 / all_car_shows,,Dashboard All Workflows-5,,update_event_row,Google Sheets event row; WordPress event post ID,Retrieves WordPress/TEC records by post ID; normalizes fields; synchronizes authoritative values into Google Sheets.,WordPress REST API; The Events Calendar API; Google Sheets,Reads WordPress and TEC event/metadata records.,Updated centralized Google Sheets event record,Valid WordPress event post ID; Google Sheets; WordPress credentials,CCC Dashboard — Publisher Dashboard,,,,Branch #1 inside the combined Dashboard All Workflows workflow.,
"AI-Assisted Event Date Discovery, Research & Date Scout",Active,n8n AI Research Workflow,Researches future event dates and writes normalized event-date results back to the CCC event database.,n8n,Dashboard All Workflows-5,,n8n; AI Agent; HTTP/web research; JavaScript parsing/normalization; Google Sheets,Concours_and_Car_Shows_2026 / all_car_shows,,Dashboard All Workflows-5,Perplexity,update_event_date,Event name; official homepage; location; current/previous date data,"Uses official-site evidence first, fallback research when required, date validation, structured parsing, and Google Sheets updates.",Google Sheets; official event websites; AI research/search,,Start date; end date; long date; status; source evidence; confidence; updated event data,Official event URL; n8n AI/search credentials; Google Sheets,CCC Dashboard — Publisher Dashboard,,,,"Official-site-first research with fallback logic, evidence capture, and confidence handling.",
